Name,PDF,Image,Description,Alt,Issuer
Entrepreneurship,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Entrepreneurship.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/entrepreneurship_lg.jpg,Boy Scouts of America - Entrepreneurship Badge,Entrepreneurship Badge Image,1
Environmental Science,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Environmental_Science.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/environmental_science_lg.jpg,Boy Scouts of America - Environmental Science Badge,Environmental Science Badge Image,1
Exploration,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Exploration.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/Exploration_sm.jpg?w=75&h=76&as=1,Boy Scouts of America - Exploration Badge,Exploration Badge Image,1
Family Life,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Family_Life.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/family_life_lg.jpg,Boy Scouts of America - Family Life Badge,Family Life Badge Image,1
Farm Mechanics,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Farm_Mechanics.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/farm_mechanics_lg.jpg,Boy Scouts of America - Farm Mechanics Badge,Farm Mechanics Badge Image,1
Fingerprinting,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Fingerprinting.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/fingerprinting_lg.jpg,Boy Scouts of America - Fingerprinting Badge,Fingerprinting Badge Image,1
Fire Safety,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Fire_Safety.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/fire_safety_lg.jpg,Boy Scouts of America - Fire Safety Badge,Fire Safety Badge Image,1
First Aid,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/First_Aid.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/first_aid_lg.jpg,Boy Scouts of America - First Aid Badge,First Aid Badge Image,1
Fish and Wildlife Management,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Fish_and_WildlifeManagement.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/fish_and_wildlife_management_sm.jpg,Boy Scouts of America - Fish and Wildlife Management Badge,Fish and Wildlife Management Badge Image,1
Fishing,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Fishing.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/fishing_lg.jpg,Boy Scouts of America - Fishing Badge,Fishing Badge Image,1
Fly-Fishing,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Fly-Fishing.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/fly-fishing_lg.jpg,Boy Scouts of America - Fly-Fishing Badge,Fly-Fishing Badge Image,1
Forestry,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Forestry.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/forestry_lg.jpg,Boy Scouts of America - Forestry Badge,Forestry Badge Image,1
Game Design,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Game_Design.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/game_design_lg.jpg,Boy Scouts of America - Game Design Badge,Game Design Badge Image,1
Gardening,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Gardening.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/gardening_lg.jpg,Boy Scouts of America - Gardening Badge,Gardening Badge Image,1
Genealogy,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Genealogy.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/genealogy_lg.jpg,Boy Scouts of America - Genealogy Badge,Genealogy Badge Image,1
Geocaching,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Geocaching.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/geocaching_lg.jpg,Boy Scouts of America - Geocaching Badge,Geocaching Badge Image,1
Geology,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Geology.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/geology_lg.jpg,Boy Scouts of America - Geology Badge,Geology Badge Image,1
Golf,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Golf.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/golf_lg.jpg,Boy Scouts of America - Golf Badge,Golf Badge Image,1
Graphic Arts,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Graphic_Arts.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/graphic_arts_lg.jpg,Boy Scouts of America - Graphic Arts Badge,Graphic Arts Badge Image,1
Hiking,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Hiking.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/hiking_lg.jpg,Boy Scouts of America - Hiking Badge,Hiking Badge Image,1
Home Repairs,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Home_Repairs.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/home_repairs_lg.jpg,Boy Scouts of America - Home Repairs Badge,Home Repairs Badge Image,1
Horsemanship,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Horsemanship.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/horsemanship_lg.jpg,Boy Scouts of America - Horsemanship Badge,Horsemanship Badge Image,1
Indian Lore,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Indian_Lore.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/indian_lore_lg.jpg,Boy Scouts of America - Indian Lore Badge,Indian Lore Badge Image,1
Insect Study,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Insect_Study.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/insect_study_lg.jpg,Boy Scouts of America - Insect Study Badge,Insect Study Badge Image,1
Inventing,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Inventing.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/inventing_lg.jpg,Boy Scouts of America - Inventing Badge,Inventing Badge Image,1
Journalism,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Journalism.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/journalism_lg.jpg,Boy Scouts of America - Journalism Badge,Journalism Badge Image,1
Kayaking,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Kayaking.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/kayaking_lg.jpg,Boy Scouts of America - Kayaking Badge,Kayaking Badge Image,1
Landscape Architecture,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Landscape_Arch.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/landscape_architecture_sm.jpg,Boy Scouts of America - Landscape Architecture Badge,Landscape Architecture Badge Image,1
Law,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Law.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/law_lg.jpg,Boy Scouts of America - Law Badge,Law Badge Image,1
Leatherwork,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Leatherwork.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/leatherwork_lg.jpg,Boy Scouts of America - Leatherwork Badge,Leatherwork Badge Image,1
Lifesaving,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Lifesaving.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/lifesaving_lg.jpg,Boy Scouts of America - Lifesaving Badge,Lifesaving Badge Image,1
Mammal Study,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Mammal_Study.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/mammal_study_lg.jpg,Boy Scouts of America - Mammal Study Badge,Mammal Study Badge Image,1
Medicine,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Medicine.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/medicine_lg.jpg,Boy Scouts of America - Medicine Badge,Medicine Badge Image,1
Metalwork,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Metalwork.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/metalwork_lg.jpg,Boy Scouts of America - Metalwork Badge,Metalwork Badge Image,1
Mining in Society,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Mining_in_Society.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/mining_in_society_lg.jpg,Boy Scouts of America - Mining in Society Badge,Mining in Society Badge Image,1
Model Design and Building,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/ModelDesign_and_Building.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/model_design_and_building_lg.jpg,Boy Scouts of America - Model Design and Building Badge,Model Design and Building Badge Image,1
Motorboating,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Motorboating.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/motorboating_lg.jpg,Boy Scouts of America - Motorboating Badge,Motorboating Badge Image,1
Moviemaking,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Moviemaking.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/moviemaking_lg.jpg,Boy Scouts of America - Moviemaking Badge,Moviemaking Badge Image,1
Music,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Music.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/music_lg.jpg,Boy Scouts of America - Music Badge,Music Badge Image,1
Nature,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Nature.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/nature_lg.jpg,Boy Scouts of America - Nature Badge,Nature Badge Image,1
Nuclear Science,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Nuclear_Science.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/nuclear_science_lg.jpg,Boy Scouts of America - Nuclear Science Badge,Nuclear Science Badge Image,1
Oceanography,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Oceanography.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/oceanography_lg.jpg,Boy Scouts of America - Oceanography Badge,Oceanography Badge Image,1
Orienteering,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Orienteering.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/orienteering_lg.jpg,Boy Scouts of America - Orienteering Badge,Orienteering Badge Image,1
Painting,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Painting.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/painting_lg.jpg,Boy Scouts of America - Painting Badge,Painting Badge Image,1
Personal Fitness,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Personal_Fitness.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/personal_fitness_lg.jpg,Boy Scouts of America - Personal Fitness Badge,Personal Fitness Badge Image,1
Personal Management,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Personal_Management.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/personal_management_lg.jpg,Boy Scouts of America - Personal Management Badge,Personal Management Badge Image,1
Pets,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Pets.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/pets_lg.jpg,Boy Scouts of America - Pets Badge,Pets Badge Image,1
Photography,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Photography.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/photography_lg.jpg,Boy Scouts of America - Photography Badge,Photography Badge Image,1
Pioneering,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Pioneering.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/pioneering_lg.jpg,Boy Scouts of America - Pioneering Badge,Pioneering Badge Image,1
Plant Science,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Plant_Science.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/plant_science_lg.jpg,Boy Scouts of America - Plant Science Badge,Plant Science Badge Image,1
Plumbing,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Plumbing.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/plumbing_lg.jpg,Boy Scouts of America - Plumbing Badge,Plumbing Badge Image,1
Pottery,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Pottery.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/pottery_lg.jpg,Boy Scouts of America - Pottery Badge,Pottery Badge Image,1
Programming,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Programming.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/programming_lg.jpg,Boy Scouts of America - Programming Badge,Programming Badge Image,1
Public Health,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Public_Health.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/public_health_lg.jpg,Boy Scouts of America - Public Health Badge,Public Health Badge Image,1
Public Speaking,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Public_Speaking.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/public_speaking_lg.jpg,Boy Scouts of America - Public Speaking Badge,Public Speaking Badge Image,1
Pulp and Paper,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Pulp_and_Paper.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/pulp_and_paper_lg.jpg,Boy Scouts of America - Pulp and Paper Badge,Pulp and Paper Badge Image,1
Radio,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Radio.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/radio_lg.jpg,Boy Scouts of America - Radio Badge,Radio Badge Image,1
Railroading,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Railroading.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/railroading_lg.jpg,Boy Scouts of America - Railroading Badge,Railroading Badge Image,1
Reading,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Reading.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/reading_lg.jpg,Boy Scouts of America - Reading Badge,Reading Badge Image,1
Reptile and Amphibian Study,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Reptile_and_AmphibianStudy.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/reptile_and_amphibian_study_lg.jpg,Boy Scouts of America - Reptile and Amphibian Study Badge,Reptile and Amphibian Study Badge Image,1
Rifle Shooting,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Rifle_Shooting.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/rifle_shooting_lg.jpg,Boy Scouts of America - Rifle Shooting Badge,Rifle Shooting Badge Image,1
Robotics,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Robotics.pdf,https://filestore.scouting.org/filestore/jpg/robotics_badge.jpg,Boy Scouts of America - Robotics Badge,Robotics Badge Image,1
Rowing,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Rowing.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/rowing_lg.jpg,Boy Scouts of America - Rowing Badge,Rowing Badge Image,1
Safety,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Safety.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/safety_lg.jpg,Boy Scouts of America - Safety Badge,Safety Badge Image,1
Salesmanship,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Salesmanship.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/salesmanship_lg.jpg,Boy Scouts of America - Salesmanship Badge,Salesmanship Badge Image,1
Scholarship,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Scholarship.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/scholarship_lg.jpg,Boy Scouts of America - Scholarship Badge,Scholarship Badge Image,1
Scouting Heritage,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Scouting_Heritage.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/scouting_heritage_lg.jpg,Boy Scouts of America - Scouting Heritage Badge,Scouting Heritage Badge Image,1
Scuba Diving,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Scuba_Diving.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/scuba_diving_lg.jpg,Boy Scouts of America - Scuba Diving Badge,Scuba Diving Badge Image,1
Sculpture,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Sculpture.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/sculpture_lg.jpg,Boy Scouts of America - Sculpture Badge,Sculpture Badge Image,1
